identifier,date_,open_,close_,MA_5,MA_20
6591,2020-10-12,55.4,54.1,55.660000000000004,57.567205
6592,2020-10-12,82.1,82.3,82.05999999999999,81.34
6605,2020-10-12,47.5,46.7,47.529999999999994,47.647499999999994
6625,2020-10-12,41.45,42.0,37.08,36.072500000000005
6641,2020-10-12,63.5,63.5,63.6,63.269999999999996
6655,2020-10-12,46.0,45.4,45.470000000000006,44.82000000000001
6666,2020-10-12,104.0,102.0,102.2,103.3
6668,2020-10-12,53.8,52.1,52.9,53.455
6669,2020-10-12,740.0,737.0,700.2,680.85
6670,2020-10-12,171.5,166.5,175.6,180.075
6671,2020-10-12,37.9,38.05,37.599999999999994,37.765
6672,2020-10-12,69.8,68.3,70.03999999999999,75.99
6674,2020-10-12,28.0,27.7,27.189999999999998,27.389999999999997
6698,2020-10-12,43.65,42.55,43.510000000000005,41.8925
6706,2020-10-12,147.0,142.0,148.7,153.775
6715,2020-10-12,138.0,136.0,134.5,134.0
8011,2020-10-12,16.5,16.1,16.48,17.0825
8016,2020-10-12,131.0,127.0,131.8,136.25
8021,2020-10-12,22.75,22.65,22.58,22.302500000000002
8028,2020-10-12,48.45,47.55,48.4,48.24249999999999
8033,2020-10-12,11.1,11.15,11.01,10.727
8039,2020-10-12,51.6,50.9,50.62,50.815000000000005
8046,2020-10-12,127.5,124.5,121.8,125.725
8070,2020-10-12,20.35,20.7,20.18,20.0025
8072,2020-10-12,32.9,30.9,32.17,32.147499999999994
8081,2020-10-12,161.0,157.0,155.9,155.95
8101,2020-10-12,6.54,6.22,6.316,6.2455
8103,2020-10-12,31.45,29.9,30.619999999999997,32.040000000000006
8104,2020-10-12,48.3,46.65,47.93,48.845000000000006
8105,2020-10-12,10.85,10.8,10.85,10.636
8110,2020-10-12,10.05,10.0,9.992,10.118
8112,2020-10-12,29.75,29.9,29.47000000000001,29.464999999999996
8114,2020-10-12,79.5,79.6,79.28,80.875
8131,2020-10-12,35.7,35.15,35.33,35.290000000000006
8150,2020-10-12,28.9,29.1,28.74,28.909999999999997
8163,2020-10-12,38.7,38.35,38.4,38.9425
8201,2020-10-12,9.4,9.07,9.376000000000001,9.3395
8210,2020-10-12,91.0,89.9,89.9,90.215
8213,2020-10-12,40.95,40.5,40.05,40.68
8215,2020-10-12,21.8,21.1,21.8,22.4875
8222,2020-10-12,13.35,13.1,13.34,13.6
8249,2020-10-12,17.2,17.1,16.979999999999997,17.11
8261,2020-10-12,41.2,43.0,37.33,33.527499999999996
8271,2020-10-12,35.75,35.6,35.239999999999995,35.660000000000004
8341,2020-10-12,228.5,221.5,229.7,237.375
8367,2020-10-12,27.4,26.45,26.95,26.747500000000002
8374,2020-10-12,25.65,24.7,26.689999999999998,23.767500000000002
8404,2020-10-12,28.6,28.55,28.560000000000002,28.830000000000002
8411,2020-10-12,13.45,13.05,13.079999999999998,13.352500000000001
8422,2020-10-12,157.5,158.0,158.2,159.275
8427,2020-10-12,45.5,45.5,44.64,43.9175
8429,2020-10-12,8.99,8.67,9.302,8.9605
8442,2020-10-12,46.05,46.5,46.45,46.8075
8443,2020-10-12,11.25,11.0,10.969999999999999,10.395
8454,2020-10-12,726.0,718.0,709.6,702.35
8462,2020-10-12,163.0,159.0,159.3,162.075
8463,2020-10-12,36.8,37.35,36.93,37.5
8464,2020-10-12,330.0,327.0,338.6,339.625
8466,2020-10-12,63.9,63.9,63.3,62.735
8467,2020-10-12,50.0,49.6,50.260000000000005,49.6025
8473,2020-10-12,44.5,44.1,42.6,41.915
8478,2020-10-12,60.0,56.6,61.06,64.715
8480,2020-10-12,121.0,122.5,119.6,119.475
8481,2020-10-12,71.3,70.1,70.3,68.13
8482,2020-10-12,105.5,109.5,105.5,109.55
8488,2020-10-12,13.6,13.6,13.61,13.59
8499,2020-10-12,146.0,142.0,141.4,139.2
8926,2020-10-12,38.2,38.1,38.260000000000005,39.5575
8940,2020-10-12,10.0,10.0,10.05,10.0965
8996,2020-10-12,51.8,50.0,52.96,55.55
9103,2020-10-12,55.5,57.2,55.1,55.067499999999995
910322,2020-10-12,25.6,25.85,25.639999999999997,27.4275
9105,2020-10-12,5.17,5.17,6.44,8.364
910861,2020-10-12,12.2,11.8,12.35,17.677500000000002
9110,2020-10-12,3.28,3.93,4.016,4.892
911608,2020-10-12,10.05,11.15,12.1,17.2425
911616,2020-10-12,2.43,2.97,2.8980000000000006,3.904
911622,2020-10-12,6.57,6.57,8.3,11.57
911868,2020-10-12,2.27,2.77,2.772,3.287
912000,2020-10-12,5.73,6.42,7.214,9.096
912398,2020-10-12,9.17,9.28,10.553999999999998,11.07
9136,2020-10-12,11.5,11.8,11.680000000000001,13.377500000000001
9188,2020-10-12,4.1,4.37,4.544,5.5875
9802,2020-10-12,109.0,107.0,110.0,115.275
9902,2020-10-12,10.05,9.93,9.768,9.9825
9904,2020-10-12,26.65,26.65,26.85,26.8025
9905,2020-10-12,21.4,21.5,21.449999999999996,21.580000000000002
9906,2020-10-12,42.3,41.65,42.07000000000001,44.464999999999996
9907,2020-10-12,10.4,10.2,10.218000000000004,10.315000000000001
9908,2020-10-12,31.3,31.3,31.080000000000002,31.005000000000003
9910,2020-10-12,176.0,175.0,176.9,173.05
9911,2020-10-12,49.1,48.75,47.88,47.515
9912,2020-10-12,7.4,7.21,7.464,7.436
9914,2020-10-12,241.5,236.5,241.3,236.55
9917,2020-10-12,85.9,86.0,85.3,85.55
9918,2020-10-12,36.0,36.1,35.45,35.167500000000004
